User_ID,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
User_1,9.0,10.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
User_2,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
User_3,8.0,10.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
User_4,10.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
User_5,8.0,9.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
User_6,0.0,0.0,0.0,8.0,8.0,8.0,0.0,1.0,0.0,1.0
User_7,1.0,1.0,0.0,9.0,9.0,8.0,1.0,1.0,0.0,0.0
User_8,0.0,0.0,0.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0
User_9,0.0,1.0,1.0,10.0,8.0,10.0,1.0,0.0,1.0,1.0
User_10,0.0,0.0,1.0,10.0,9.0,9.0,0.0,0.0,1.0,1.0
User_11,0.0,0.0,0.0,10.0,8.0,10.0,0.0,0.0,0.0,1.0
User_12,0.0,1.0,0.0,8.0,9.0,10.0,1.0,0.0,0.0,0.0
User_13,0.0,0.0,1.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0
User_14,0.0,0.0,0.0,8.0,9.0,10.0,0.0,0.0,0.0,1.0
User_15,1.0,0.0,0.0,10.0,10.0,8.0,0.0,0.0,0.0,0.0
User_16,0.0,1.0,0.0,1.0,0.0,1.0,9.0,10.0,10.0,1.0
User_17,1.0,0.0,1.0,0.0,1.0,0.0,8.0,10.0,8.0,1.0
User_18,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,8.0,1.0
User_19,0.0,1.0,1.0,0.0,0.0,1.0,8.0,9.0,8.0,0.0
User_20,1.0,1.0,0.0,0.0,1.0,0.0,9.0,10.0,8.0,1.0
